Detailed Statistics Arrivals  
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","01/01/2024","0215","N3139J","BOS","17:04","16:38","273","248","-26","16:21","17","0","0","0","0","0"
"B6","01/02/2024","0215","N3142J","BOS","17:04","16:45","273","254","-19","16:29","16","0","0","0","0","0"
"B6","01/03/2024","0215","N3113J","BOS","17:04","16:59","273","274","-5","16:42","17","0","0","0","0","0"
"B6","01/04/2024","0215","N3142J","BOS","10:45","09:58","286","246","-47","09:46","12","0","0","0","0","0"
"B6","01/05/2024","0215","N3152J","BOS","10:45","10:12","286","260","-33","10:03","9","0","0","0","0","0"
"B6","01/06/2024","0215","N323JB","BOS","16:13","16:47","273","283","34","16:27","20","24","0","10","0","0"
"B6","01/07/2024","0215","N3077J","BOS","10:16","00:00","286","0","0","00:00","0","0","0","0","0","0"
"B6","01/08/2024","0215","N3065J","BOS","10:16","10:48","286","295","32","10:37","11","23","0","9","0","0"
"B6","01/09/2024","0215","N516JB","BOS","10:16","10:03","286","279","-13","09:50","13","0","0","0","0","0"
"B6","01/10/2024","0215","N516JB","BOS","10:16","09:50","286","265","-26","09:38","12","0","0","0","0","0"
"B6","01/11/2024","0215","N3113J","BOS","10:16","10:23","286","304","7","10:14","9","0","0","0","0","0"
"B6","01/12/2024","0215","N3113J","BOS","10:16","10:52","286","290","36","10:50","2","32","0","4","0","0"
"B6","01/13/2024","0215","N368JB","BOS","16:13","17:17","273","267","64","17:01","16","39","0","0","0","25"
"B6","01/14/2024","0215","N3152J","BOS","10:16","10:03","286","279","-13","09:46","17","0","0","0","0","0"
"B6","01/15/2024","0215","N3065J","BOS","10:16","10:35","286","289","19","10:19","16","16","0","3","0","0"
"B6","01/16/2024","0215","N3104J","BOS","10:16","12:04","286","398","108","11:44","20","0","0","108","0","0"
"B6","01/17/2024","0215","N3102J","BOS","10:16","10:00","286","279","-16","09:39","21","0","0","0","0","0"
"B6","01/18/2024","0215","N3123J","BOS","10:16","10:05","286","282","-11","09:52","13","0","0","0","0","0"
"B6","01/19/2024","0215","N3152J","BOS","10:16","10:22","286","301","6","10:09","13","0","0","0","0","0"
"B6","01/20/2024","0215","N231JB","BOS","16:13","15:59","273","275","-14","15:45","14","0","0","0","0","0"
"B6","01/21/2024","0215","N3125J","BOS","10:16","09:38","286","248","-38","09:26","12","0","0","0","0","0"
"B6","01/22/2024","0215","N3132J","BOS","10:16","09:54","286","267","-22","09:40","14","0","0","0","0","0"
"B6","01/23/2024","0215","N3145J","BOS","10:16","09:56","286","272","-20","09:37","19","0","0","0","0","0"
