Detailed Statistics Arrivals  
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: Republic Airline (YX)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","01/13/2024","3619","N763YX","EWR","15:57","15:58","257","265","1","15:39","19","0","0","0","0","0"
"YX","01/20/2024","3619","N748YX","EWR","15:57","15:38","257","248","-19","15:22","16","0","0","0","0","0"
"YX","01/27/2024","3619","N761YX","EWR","15:57","16:14","257","243","17","15:58","16","17","0","0","0","0"
"YX","02/03/2024","3619","N764YX","EWR","15:57","15:17","257","221","-40","15:02","15","0","0","0","0","0"
"YX","02/10/2024","3619","N762YX","EWR","15:57","16:59","257","0","0","16:47","12","0","0","0","0","0"
"YX","02/17/2024","3535","N655RW","EWR","16:13","18:56","263","364","163","18:37","19","15","0","101","0","47"
"YX","02/17/2024","3546","N731YX","EWR","10:51","12:51","266","320","120","12:31","20","66","0","54","0","0"
"YX","02/24/2024","3535","N754YX","EWR","16:13","15:29","263","225","-44","15:17","12","0","0","0","0","0"
"YX","02/24/2024","3546","N743YX","EWR","10:51","10:18","266","235","-33","10:05","13","0","0","0","0","0"
"YX","02/26/2024","3286","N647RW","IAH","11:15","11:32","86","70","17","11:21","11","17","0","0","0","0"
"YX","03/02/2024","3535","N727YX","EWR","16:13","15:20","263","225","-53","15:09","11","0","0","0","0","0"
"YX","03/02/2024","3546","N722YX","EWR","10:51","09:51","266","216","-60","09:39","12","0","0","0","0","0"
"YX","04/06/2024","3523","N747YX","EWR","16:03","15:53","243","243","-10","15:38","15","0","0","0","0","0"
"YX","04/13/2024","3523","N750YX","EWR","16:03","15:57","243","248","-6","15:36","21","0","0","0","0","0"
"YX","04/20/2024","3523","N754YX","EWR","16:03","21:26","243","0","0","21:07","19","0","0","0","0","0"
"YX","04/25/2024","3286","N657RW","IAH","08:56","09:20","86","76","24","09:05","15","24","0","0","0","0"
"YX","04/27/2024","3523","N747YX","EWR","16:03","15:27","243","217","-36","15:14","13","0","0","0","0","0"
"YX","05/25/2024","3704","N864RW","ORD","18:25","18:16","160","154","-9","18:04","12","0","0","0","0","0"
"YX","06/29/2024","3556","N865RW","EWR","18:27","17:55","237","212","-32","17:41","14","0","0","0","0","0"
"YX","06/29/2024","3618","N657RW","EWR","11:34","11:16","238","227","-18","11:03","13","0","0","0","0","0"
